label,W_EXC_INIT,W_INH_INIT,W_MAX,NU_EXT_HZ,W_EXT,RHO0_HZ,ISTDP_ETA,GAIN_ETA,LAMBDA_UM,TARGET_OUTDEG,m_hat_MR,tau_size,KS_size,rate_hz,steps_per_s,rt_factor,aval_count,self_sus,near,powerlaw,crackle
b1_drive2k,1.0f,3.0f,8.0f,2000.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.9649,nan,inf,1.65,10829,1.08,2,PASS,PASS,----,----
b2_drive5k,1.0f,3.0f,8.0f,5000.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.9831,nan,inf,16.30,8259,0.83,1,PASS,PASS,----,----
b3_drive10k,1.0f,3.0f,8.0f,10000.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.9407,nan,inf,36.07,4845,0.48,1,PASS,PASS,----,----
b4_drive_rec,3.0f,6.0f,8.0f,10000.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.9426,nan,inf,36.68,4805,0.48,1,PASS,PASS,----,----
c1_nu1500,4.0f,16.0f,20.0f,1500.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.9647,nan,inf,0.90,10314,1.03,1,----,----,----,----
c2_nu600,4.0f,16.0f,20.0f,600.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.9945,6.019,0.042,0.13,14603,1.46,15093,----,----,----,----
c3_nu250,4.0f,16.0f,20.0f,250.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.9797,2.243,0.130,0.00,20996,2.10,17221,----,----,----,----
c4_nu80,4.0f,16.0f,20.0f,80.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.9315,4.646,0.857,0.00,21524,2.15,42,----,----,----,----
d1_wexc5,5.0f,16.0f,20.0f,600.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.9942,5.471,0.034,0.13,15104,1.51,15145,PASS,PASS,----,PASS
d2_wexc6,6.0f,16.0f,20.0f,600.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.9936,5.062,0.042,0.13,15006,1.50,15076,PASS,PASS,----,PASS
