label,W_EXC_INIT,W_INH_INIT,W_MAX,NU_EXT_HZ,W_EXT,RHO0_HZ,ISTDP_ETA,GAIN_ETA,LAMBDA_UM,TARGET_OUTDEG,STD_U,TAU_REC_MS,m_hat_MR,tau_size,KS_size,IEI,rate_hz,steps_per_s,rt_factor,aval_count,self_sus,near,powerlaw,crackle,CRITICAL
p1_nu10,15.0f,22.0f,48.0f,10.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9426,nan,inf,2,0.00,10695,1.07,12,----,----,----,----,----
p2_nu25,15.0f,22.0f,48.0f,25.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9484,nan,inf,2,0.00,11121,1.11,12,----,----,----,----,----
p3_nu50,15.0f,22.0f,48.0f,50.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9495,nan,inf,3028,0.00,10571,1.06,13,----,----,----,----,----
p4_nu100,15.0f,22.0f,48.0f,100.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9671,2.381,0.377,870,0.00,10195,1.02,170,----,----,----,----,----
q1_wexc30,30.0f,45.0f,90.0f,20.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.0f,400.0f,0.9699,nan,inf,5,0.00,10612,1.06,24,----,----,----,----,----
q2_wexc60,60.0f,90.0f,180.0f,20.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.0f,400.0f,0.9856,nan,inf,2,0.00,10481,1.05,37,----,----,----,----,----
q3_wexc100,100.0f,150.0f,300.0f,20.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.0f,400.0f,0.9935,nan,inf,1,0.00,9531,0.95,5,----,----,----,----,----
q4_wexc150,150.0f,225.0f,450.0f,20.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.0f,400.0f,0.9956,nan,inf,1,0.00,9635,0.96,8,----,----,----,----,----
r1_nu600std,6.0f,8.0f,20.0f,600.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9943,5.156,0.036,1,0.12,7623,0.76,15306,PASS,PASS,----,PASS,----
r2_nu700std,6.0f,8.0f,20.0f,700.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9930,4.756,0.043,1,0.18,7033,0.70,4865,PASS,PASS,----,PASS,----
r3_nu800std,6.0f,8.0f,20.0f,800.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9908,5.200,0.052,1,0.26,6722,0.67,1221,PASS,PASS,----,PASS,----
r4_nu800strong,6.0f,8.0f,20.0f,800.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.4f,400.0f,0.9924,4.099,0.048,1,0.26,6675,0.67,1212,PASS,PASS,----,PASS,----
s1_nu5,6.0f,8.0f,20.0f,5.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9739,nan,inf,6,0.00,10489,1.05,40,----,----,----,----,----
s2_nu10,6.0f,8.0f,20.0f,10.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9946,nan,inf,1,0.00,9125,0.91,17,----,----,----,----,----
s3_nu20,6.0f,8.0f,20.0f,20.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9944,nan,inf,1,0.00,9260,0.93,11,----,----,----,----,----
s4_nu10_lo,3.0f,4.0f,20.0f,10.0f,8.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9878,nan,inf,2,0.00,9434,0.94,35,----,----,----,----,----
t1_wx20_nu10,3.0f,4.0f,20.0f,10.0f,20.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9877,2.123,0.270,244,0.00,10245,1.02,659,----,----,----,----,----
t2_wx40_nu10,3.0f,4.0f,20.0f,10.0f,40.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9856,5.328,0.104,3,0.02,8469,0.85,46554,----,----,----,----,----
t3_wx40_nu50,3.0f,4.0f,20.0f,50.0f,40.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9961,2.584,0.072,1,0.23,6313,0.63,2257,PASS,PASS,----,----,----
t4_wx80_nu100,3.0f,4.0f,20.0f,100.0f,80.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9821,1.406,0.236,1,10.34,4433,0.44,91,PASS,PASS,----,----,----
u1_we32_nu55,3.2f,4.3f,20.0f,55.0f,45.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9934,2.071,0.108,1,0.34,6178,0.62,614,PASS,PASS,----,----,----
u2_we35_nu60,3.5f,4.7f,20.0f,60.0f,45.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9908,1.626,0.102,1,0.38,6655,0.67,621,PASS,PASS,----,----,----
u3_we32_nu70,3.2f,4.3f,20.0f,70.0f,55.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9897,1.594,0.119,1,2.32,5622,0.56,400,PASS,PASS,----,PASS,----
u4_we35_nu75,3.5f,4.7f,20.0f,75.0f,55.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9888,1.436,0.104,1,22.38,5256,0.53,361,PASS,PASS,----,PASS,----
v1_nu25,3.5f,4.7f,20.0f,25.0f,45.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9963,4.264,0.048,1,0.14,7032,0.70,10889,----,----,----,----,----
v2_nu35,3.5f,4.7f,20.0f,35.0f,45.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9937,3.098,0.058,1,0.21,6636,0.66,3160,PASS,PASS,----,----,----
v3_nu35b,3.5f,4.7f,20.0f,35.0f,55.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9922,1.606,0.133,1,0.36,5981,0.60,706,PASS,PASS,----,----,----
v4_nu45,3.5f,4.7f,20.0f,45.0f,55.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.9903,1.420,0.114,1,0.47,6045,0.60,568,PASS,PASS,----,----,----
w1_wsa05,3.5f,4.7f,20.0f,35.0f,45.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.5f,0.12f,0.9942,3.187,0.068,1,0.20,6416,0.64,3121,PASS,PASS,----,----,----
w2_wsa07,3.5f,4.7f,20.0f,35.0f,45.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,0.7f,0.20f,0.9952,3.413,0.058,1,0.21,6676,0.67,3102,PASS,PASS,----,PASS,----
w3_wsa10,3.5f,4.7f,20.0f,35.0f,45.0f,3.0f,0.005f,1.0e-4f,150.0f,100,0.2f,400.0f,1.0f,0.30f,0.9955,3.149,0.040,1,51.43,6918,0.69,3195,PASS,PASS,----,----,----
